AKGWA_NUMBER,Lat83,Long83,County,Construction_Date,Primary_Use,Surface_Elevation,Total_Depth
40002907,3849580.38,5754837.64,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,645,58
00046627,3805383.38,5756654.21,Johnson,1/1/1992,DOMESTIC - SINGLE HOUSEHOLD,800,60
00047177,4163375.25,5718525.01,Greenup,1/1/1996,DOMESTIC - SINGLE HOUSEHOLD,530,60
80012590,4169271.32,5729446.79,Greenup,12/15/1993,MONITORING WELL - AMBIENT MONITORING,540,60
80012607,4169172.89,5729529.12,Greenup,2/9/1994,MONITORING WELL - AMBIENT MONITORING,550,60
80013316,4169172.89,5729529.12,Greenup,3/8/1994,MONITORING WELL - AMBIENT MONITORING,550,60
80013317,4169172.89,5729529.12,Greenup,3/8/1994,MONITORING WELL - AMBIENT MONITORING,550,60
30000533,3868233.55,5732532.57,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,60
30002387,3890342.49,5790702.43,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,60
30002398,3898150.3,5865512.6,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,60
40001869,3837693.02,5775834.35,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,60
60000668,4071001.67,5774241.11,Greenup,,DOMESTIC - SINGLE HOUSEHOLD,,60
50000793,4103801.7,5768106.87,Greenup,,INDUSTRIAL,536,61
60000675,4078055.76,5792075.54,Greenup,,DOMESTIC - SINGLE HOUSEHOLD,,61
80013319,4169172.89,5729529.12,Greenup,3/9/1994,MONITORING WELL - AMBIENT MONITORING,550,62
